5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
31/10/2006 04:15,7,1,100,4321
31/10/2006 04:30,7,1,100,4321
31/10/2006 04:45,4,1,100,4321
31/10/2006 05:00,12,1,100,4321
31/10/2006 05:15,10,1,100,4321
31/10/2006 05:30,19,1,100,4321
31/10/2006 05:45,35,1,100,4321
31/10/2006 06:00,40,1,100,4321
31/10/2006 06:15,62,1,100,4321
31/10/2006 06:30,69,1,100,4321
31/10/2006 06:45,123,1,100,4321
31/10/2006 07:00,157,1,100,4321
31/10/2006 07:15,218,1,100,4321
31/10/2006 07:30,293,1,100,4321
31/10/2006 07:45,297,1,100,4321
31/10/2006 08:00,284,1,100,4321
31/10/2006 08:15,219,1,100,4321
31/10/2006 08:30,168,1,100,4321
31/10/2006 08:45,210,1,100,4321
31/10/2006 09:00,188,1,100,4321
31/10/2006 09:15,137,1,100,4321
31/10/2006 09:30,111,1,100,4321
31/10/2006 09:45,112,1,100,4321
31/10/2006 10:00,115,1,100,4321
31/10/2006 10:15,113,1,100,4321
31/10/2006 10:30,79,1,100,4321
31/10/2006 10:45,117,1,100,4321
31/10/2006 11:00,82,1,100,4321
31/10/2006 11:15,89,1,100,4321
31/10/2006 11:30,99,1,100,4321
31/10/2006 11:45,87,1,100,4321
31/10/2006 12:00,109,1,100,4321
31/10/2006 12:15,116,1,100,4321
31/10/2006 12:30,86,1,100,4321
31/10/2006 12:45,107,1,100,4321
31/10/2006 13:00,103,1,100,4321
31/10/2006 13:15,89,1,100,4321
31/10/2006 13:30,99,1,100,4321
31/10/2006 13:45,93,1,100,4321
31/10/2006 14:00,83,1,100,4321
31/10/2006 14:15,87,1,100,4321
31/10/2006 14:30,89,1,100,4321
31/10/2006 14:45,86,1,100,4321
31/10/2006 15:00,96,1,100,4321
31/10/2006 15:15,103,1,100,4321
31/10/2006 15:30,104,1,100,4321
31/10/2006 15:45,94,1,100,4321
31/10/2006 16:00,87,1,100,4321
31/10/2006 16:15,85,1,100,4321
31/10/2006 16:30,86,1,100,4321
31/10/2006 16:45,87,1,100,4321
31/10/2006 17:00,105,1,100,4321
31/10/2006 17:15,87,1,100,4321
31/10/2006 17:30,81,1,100,4321
31/10/2006 17:45,95,1,100,4321
31/10/2006 18:00,81,1,100,4321
31/10/2006 18:15,81,1,100,4321
31/10/2006 18:30,77,1,100,4321
31/10/2006 18:45,74,1,100,4321
31/10/2006 19:00,86,1,100,4321
31/10/2006 19:15,72,1,100,4321
31/10/2006 19:30,57,1,100,4321
31/10/2006 19:45,67,1,100,4321
31/10/2006 20:00,53,1,100,4321
31/10/2006 20:15,57,1,100,4321
31/10/2006 20:30,41,1,100,4321
31/10/2006 20:45,47,1,100,4321
31/10/2006 21:00,47,1,100,4321
31/10/2006 21:15,47,1,100,4321
31/10/2006 21:30,38,1,100,4321
31/10/2006 21:45,34,1,100,4321
31/10/2006 22:00,39,1,100,4321
31/10/2006 22:15,36,1,100,4321
31/10/2006 22:30,23,1,100,4321
31/10/2006 22:45,25,1,100,4321
31/10/2006 23:00,16,1,100,4321
31/10/2006 23:15,10,1,100,4321
31/10/2006 23:30,8,1,100,4321
31/10/2006 23:45,17,1,100,4321
01/10/2006 00:00,24,1,100,4321
01/10/2006 00:15,23,1,100,4321
01/10/2006 00:30,19,1,100,4321
01/10/2006 00:45,12,1,100,4321
01/10/2006 01:00,13,1,100,4321
01/10/2006 01:15,14,1,100,4321
01/10/2006 01:30,12,1,100,4321
01/10/2006 01:45,14,1,100,4321
01/10/2006 02:00,12,1,100,4321
01/10/2006 02:15,10,1,100,4321
01/10/2006 02:30,9,1,100,4321
01/10/2006 02:45,5,1,100,4321
01/10/2006 03:00,4,1,100,4321
01/10/2006 03:15,6,1,100,4321
01/10/2006 03:30,7,1,100,4321
01/10/2006 03:45,2,1,100,4321
01/10/2006 04:00,7,1,100,4321
01/10/2006 04:15,6,1,100,4321
01/10/2006 04:30,4,1,100,4321
01/10/2006 04:45,4,1,100,4321
01/10/2006 05:00,7,1,100,4321
01/10/2006 05:15,5,1,100,4321
01/10/2006 05:30,9,1,100,4321
01/10/2006 05:45,7,1,100,4321
01/10/2006 06:00,6,1,100,4321
01/10/2006 06:15,12,1,100,4321
01/10/2006 06:30,25,1,100,4321
01/10/2006 06:45,11,1,100,4321
01/10/2006 07:00,23,1,100,4321
01/10/2006 07:15,23,1,100,4321
01/10/2006 07:30,30,1,100,4321
01/10/2006 07:45,40,1,100,4321
01/10/2006 08:00,32,1,100,4321
01/10/2006 08:15,36,1,100,4321
01/10/2006 08:30,41,1,100,4321
01/10/2006 08:45,55,1,100,4321
01/10/2006 09:00,51,1,100,4321
01/10/2006 09:15,71,1,100,4321
01/10/2006 09:30,81,1,100,4321
01/10/2006 09:45,72,1,100,4321
01/10/2006 10:00,69,1,100,4321
01/10/2006 10:15,71,1,100,4321
01/10/2006 10:30,67,1,100,4321
01/10/2006 10:45,81,1,100,4321
01/10/2006 11:00,88,1,100,4321
01/10/2006 11:15,58,1,100,4321
01/10/2006 11:30,93,1,100,4321
01/10/2006 11:45,71,1,100,4321
01/10/2006 12:00,72,1,100,4321
01/10/2006 12:15,91,1,100,4321
01/10/2006 12:30,96,1,100,4321
01/10/2006 12:45,102,1,100,4321
01/10/2006 13:00,91,1,100,4321
01/10/2006 13:15,89,1,100,4321
01/10/2006 13:30,96,1,100,4321
01/10/2006 13:45,84,1,100,4321
01/10/2006 14:00,96,1,100,4321
01/10/2006 14:15,92,1,100,4321
01/10/2006 14:30,75,1,100,4321
01/10/2006 14:45,85,1,100,4321
01/10/2006 15:00,73,1,100,4321
01/10/2006 15:15,78,1,100,4321
01/10/2006 15:30,80,1,100,4321
01/10/2006 15:45,71,1,100,4321
01/10/2006 16:00,86,1,100,4321
01/10/2006 16:15,81,1,100,4321
01/10/2006 16:30,74,1,100,4321
01/10/2006 16:45,81,1,100,4321
01/10/2006 17:00,86,1,100,4321
01/10/2006 17:15,67,1,100,4321
01/10/2006 17:30,85,1,100,4321
01/10/2006 17:45,84,1,100,4321
01/10/2006 18:00,94,1,100,4321
01/10/2006 18:15,78,1,100,4321
01/10/2006 18:30,70,1,100,4321
01/10/2006 18:45,68,1,100,4321
01/10/2006 19:00,57,1,100,4321
01/10/2006 19:15,52,1,100,4321
01/10/2006 19:30,49,1,100,4321
01/10/2006 19:45,40,1,100,4321
01/10/2006 20:00,51,1,100,4321
01/10/2006 20:15,32,1,100,4321
01/10/2006 20:30,30,1,100,4321
01/10/2006 20:45,42,1,100,4321
01/10/2006 21:00,45,1,100,4321
01/10/2006 21:15,51,1,100,4321
01/10/2006 21:30,49,1,100,4321
01/10/2006 21:45,29,1,100,4321
01/10/2006 22:00,36,1,100,4321
01/10/2006 22:15,20,1,100,4321
01/10/2006 22:30,22,1,100,4321
01/10/2006 22:45,22,1,100,4321
01/10/2006 23:00,21,1,100,4321
01/10/2006 23:15,12,1,100,4321
01/10/2006 23:30,8,1,100,4321
01/10/2006 23:45,9,1,100,4321
02/10/2006 00:00,5,1,100,4321
02/10/2006 00:15,9,1,100,4321
02/10/2006 00:30,3,1,100,4321
02/10/2006 00:45,3,1,100,4321
02/10/2006 01:00,7,1,100,4321
02/10/2006 01:15,2,1,100,4321
02/10/2006 01:30,2,1,100,4321
02/10/2006 01:45,3,1,100,4321
02/10/2006 02:00,2,1,100,4321
02/10/2006 02:15,1,1,100,4321
02/10/2006 02:30,0,1,100,4321
02/10/2006 02:45,4,1,100,4321
02/10/2006 03:00,1,1,100,4321
02/10/2006 03:15,2,1,100,4321
02/10/2006 03:30,3,1,100,4321
02/10/2006 03:45,4,1,100,4321
02/10/2006 04:00,1,1,100,4321
02/10/2006 04:15,1,1,100,4321
02/10/2006 04:30,5,1,100,4321
02/10/2006 04:45,10,1,100,4321
02/10/2006 05:00,16,1,100,4321
02/10/2006 05:15,8,1,100,4321
02/10/2006 05:30,19,1,100,4321
02/10/2006 05:45,23,1,100,4321
02/10/2006 06:00,31,1,100,4321
02/10/2006 06:15,57,1,100,4321
02/10/2006 06:30,70,1,100,4321
02/10/2006 06:45,94,1,100,4321
02/10/2006 07:00,117,1,100,4321
02/10/2006 07:15,198,1,100,4321
02/10/2006 07:30,197,1,100,4321
02/10/2006 07:45,212,1,100,4321
02/10/2006 08:00,216,1,100,4321
02/10/2006 08:15,170,1,100,4321
02/10/2006 08:30,147,1,100,4321
02/10/2006 08:45,156,1,100,4321
02/10/2006 09:00,138,1,100,4321
02/10/2006 09:15,121,1,100,4321
02/10/2006 09:30,96,1,100,4321
02/10/2006 09:45,96,1,100,4321
02/10/2006 10:00,98,1,100,4321
02/10/2006 10:15,88,1,100,4321
02/10/2006 10:30,90,1,100,4321
02/10/2006 10:45,91,1,100,4321
02/10/2006 11:00,87,1,100,4321
02/10/2006 11:15,68,1,100,4321
02/10/2006 11:30,92,1,100,4321
02/10/2006 11:45,73,1,100,4321
02/10/2006 12:00,68,1,100,4321
02/10/2006 12:15,105,1,100,4321
02/10/2006 12:30,76,1,100,4321
02/10/2006 12:45,71,1,100,4321
02/10/2006 13:00,86,1,100,4321
02/10/2006 13:15,88,1,100,4321
02/10/2006 13:30,90,1,100,4321
02/10/2006 13:45,85,1,100,4321
02/10/2006 14:00,85,1,100,4321
02/10/2006 14:15,90,1,100,4321
02/10/2006 14:30,80,1,100,4321
02/10/2006 14:45,89,1,100,4321
02/10/2006 15:00,98,1,100,4321
02/10/2006 15:15,115,1,100,4321
02/10/2006 15:30,120,1,100,4321
02/10/2006 15:45,115,1,100,4321
02/10/2006 16:00,74,1,100,4321
02/10/2006 16:15,79,1,100,4321
02/10/2006 16:30,92,1,100,4321
02/10/2006 16:45,103,1,100,4321
02/10/2006 17:00,118,1,100,4321
02/10/2006 17:15,107,1,100,4321
02/10/2006 17:30,102,1,100,4321
02/10/2006 17:45,103,1,100,4321
02/10/2006 18:00,100,1,100,4321
02/10/2006 18:15,101,1,100,4321
02/10/2006 18:30,87,1,100,4321
02/10/2006 18:45,76,1,100,4321
02/10/2006 19:00,80,1,100,4321
02/10/2006 19:15,92,1,100,4321
02/10/2006 19:30,64,1,100,4321
02/10/2006 19:45,42,1,100,4321
02/10/2006 20:00,64,1,100,4321
02/10/2006 20:15,42,1,100,4321
02/10/2006 20:30,29,1,100,4321
02/10/2006 20:45,37,1,100,4321
02/10/2006 21:00,49,1,100,4321
02/10/2006 21:15,36,1,100,4321
02/10/2006 21:30,38,1,100,4321
02/10/2006 21:45,31,1,100,4321
02/10/2006 22:00,29,1,100,4321
02/10/2006 22:15,31,1,100,4321
02/10/2006 22:30,21,1,100,4321
02/10/2006 22:45,10,1,100,4321
02/10/2006 23:00,19,1,100,4321
02/10/2006 23:15,19,1,100,4321
02/10/2006 23:30,9,1,100,4321
02/10/2006 23:45,8,1,100,4321
03/10/2006 00:00,7,1,100,4321
03/10/2006 00:15,8,1,100,4321
03/10/2006 00:30,2,1,100,4321
03/10/2006 00:45,2,1,100,4321
03/10/2006 01:00,6,1,100,4321
03/10/2006 01:15,2,1,100,4321
03/10/2006 01:30,5,1,100,4321
03/10/2006 01:45,2,1,100,4321
03/10/2006 02:00,0,1,100,4321
03/10/2006 02:15,1,1,100,4321
03/10/2006 02:30,2,1,100,4321
03/10/2006 02:45,2,1,100,4321
03/10/2006 03:00,3,1,100,4321
03/10/2006 03:15,0,1,100,4321
03/10/2006 03:30,4,1,100,4321
03/10/2006 03:45,5,1,100,4321
03/10/2006 04:00,1,1,100,4321
03/10/2006 04:15,1,1,100,4321
03/10/2006 04:30,1,1,100,4321
03/10/2006 04:45,12,1,100,4321
03/10/2006 05:00,15,1,100,4321
03/10/2006 05:15,18,1,100,4321
03/10/2006 05:30,35,1,100,4321
03/10/2006 05:45,27,1,100,4321
03/10/2006 06:00,41,1,100,4321
03/10/2006 06:15,66,1,100,4321
03/10/2006 06:30,100,1,100,4321
03/10/2006 06:45,107,1,100,4321
03/10/2006 07:00,157,1,100,4321
03/10/2006 07:15,163,1,100,4321
03/10/2006 07:30,236,1,100,4321
03/10/2006 07:45,211,1,100,4321
03/10/2006 08:00,187,1,100,4321
03/10/2006 08:15,199,1,100,4321
03/10/2006 08:30,172,1,100,4321
03/10/2006 08:45,164,1,100,4321
03/10/2006 09:00,139,1,100,4321
03/10/2006 09:15,126,1,100,4321
03/10/2006 09:30,107,1,100,4321
03/10/2006 09:45,99,1,100,4321
03/10/2006 10:00,118,1,100,4321
03/10/2006 10:15,92,1,100,4321
03/10/2006 10:30,86,1,100,4321
03/10/2006 10:45,86,1,100,4321
03/10/2006 11:00,97,1,100,4321
03/10/2006 11:15,90,1,100,4321
03/10/2006 11:30,79,1,100,4321
03/10/2006 11:45,92,1,100,4321
03/10/2006 12:00,76,1,100,4321
03/10/2006 12:15,85,1,100,4321
03/10/2006 12:30,64,1,100,4321
03/10/2006 12:45,83,1,100,4321
03/10/2006 13:00,84,1,100,4321
03/10/2006 13:15,78,1,100,4321
03/10/2006 13:30,50,1,100,4321
03/10/2006 13:45,92,1,100,4321
03/10/2006 14:00,54,1,100,4321
03/10/2006 14:15,107,1,100,4321
03/10/2006 14:30,69,1,100,4321
03/10/2006 14:45,83,1,100,4321
03/10/2006 15:00,90,1,100,4321
03/10/2006 15:15,101,1,100,4321
03/10/2006 15:30,137,1,100,4321
03/10/2006 15:45,130,1,100,4321
03/10/2006 16:00,84,1,100,4321
03/10/2006 16:15,114,1,100,4321
03/10/2006 16:30,61,1,100,4321
03/10/2006 16:45,119,1,100,4321
03/10/2006 17:00,112,1,100,4321
03/10/2006 17:15,114,1,100,4321
03/10/2006 17:30,107,1,100,4321
03/10/2006 17:45,88,1,100,4321
03/10/2006 18:00,99,1,100,4321
03/10/2006 18:15,96,1,100,4321
03/10/2006 18:30,96,1,100,4321
03/10/2006 18:45,101,1,100,4321
03/10/2006 19:00,90,1,100,4321
03/10/2006 19:15,72,1,100,4321
03/10/2006 19:30,73,1,100,4321
03/10/2006 19:45,55,1,100,4321
03/10/2006 20:00,57,1,100,4321
03/10/2006 20:15,45,1,100,4321
03/10/2006 20:30,32,1,100,4321
03/10/2006 20:45,43,1,100,4321
03/10/2006 21:00,45,1,100,4321
03/10/2006 21:15,42,1,100,4321
03/10/2006 21:30,42,1,100,4321
03/10/2006 21:45,34,1,100,4321
03/10/2006 22:00,35,1,100,4321
03/10/2006 22:15,36,1,100,4321
03/10/2006 22:30,27,1,100,4321
03/10/2006 22:45,30,1,100,4321
03/10/2006 23:00,23,1,100,4321
03/10/2006 23:15,12,1,100,4321
03/10/2006 23:30,8,1,100,4321
03/10/2006 23:45,11,1,100,4321
04/10/2006 00:00,7,1,100,4321
04/10/2006 00:15,5,1,100,4321
04/10/2006 00:30,6,1,100,4321
04/10/2006 00:45,5,1,100,4321
04/10/2006 01:00,2,1,100,4321
04/10/2006 01:15,3,1,100,4321
04/10/2006 01:30,4,1,100,4321
04/10/2006 01:45,3,1,100,4321
04/10/2006 02:00,1,1,100,4321
04/10/2006 02:15,0,1,100,4321
04/10/2006 02:30,3,1,100,4321
04/10/2006 02:45,6,1,100,4321
04/10/2006 03:00,1,1,100,4321
04/10/2006 03:15,3,1,100,4321
04/10/2006 03:30,3,1,100,4321
04/10/2006 03:45,2,1,100,4321
04/10/2006 04:00,1,1,100,4321
04/10/2006 04:15,1,1,100,4321
04/10/2006 04:30,5,1,100,4321
04/10/2006 04:45,7,1,100,4321
04/10/2006 05:00,9,1,100,4321
04/10/2006 05:15,19,1,100,4321
04/10/2006 05:30,26,1,100,4321
04/10/2006 05:45,25,1,100,4321
04/10/2006 06:00,33,1,100,4321
04/10/2006 06:15,56,1,100,4321
04/10/2006 06:30,95,1,100,4321
04/10/2006 06:45,129,1,100,4321
04/10/2006 07:00,136,1,100,4321
04/10/2006 07:15,176,1,100,4321
04/10/2006 07:30,198,1,100,4321
04/10/2006 07:45,214,1,100,4321
04/10/2006 08:00,227,1,100,4321
04/10/2006 08:15,165,1,100,4321
04/10/2006 08:30,178,1,100,4321
04/10/2006 08:45,151,1,100,4321
04/10/2006 09:00,135,1,100,4321
04/10/2006 09:15,147,1,100,4321
04/10/2006 09:30,104,1,100,4321
04/10/2006 09:45,116,1,100,4321
04/10/2006 10:00,93,1,100,4321
04/10/2006 10:15,97,1,100,4321
04/10/2006 10:30,88,1,100,4321
04/10/2006 10:45,93,1,100,4321
04/10/2006 11:00,93,1,100,4321
04/10/2006 11:15,91,1,100,4321
04/10/2006 11:30,76,1,100,4321
04/10/2006 11:45,69,1,100,4321
04/10/2006 12:00,60,1,100,4321
04/10/2006 12:15,102,1,100,4321
04/10/2006 12:30,86,1,100,4321
04/10/2006 12:45,91,1,100,4321
04/10/2006 13:00,79,1,100,4321
04/10/2006 13:15,85,1,100,4321
04/10/2006 13:30,83,1,100,4321
04/10/2006 13:45,80,1,100,4321
04/10/2006 14:00,75,1,100,4321
04/10/2006 14:15,81,1,100,4321
04/10/2006 14:30,95,1,100,4321
04/10/2006 14:45,98,1,100,4321
04/10/2006 15:00,100,1,100,4321
04/10/2006 15:15,97,1,100,4321
04/10/2006 15:30,116,1,100,4321
04/10/2006 15:45,116,1,100,4321
04/10/2006 16:00,109,1,100,4321
04/10/2006 16:15,95,1,100,4321
04/10/2006 16:30,119,1,100,4321
04/10/2006 16:45,100,1,100,4321
04/10/2006 17:00,112,1,100,4321
04/10/2006 17:15,129,1,100,4321
04/10/2006 17:30,118,1,100,4321
04/10/2006 17:45,107,1,100,4321
04/10/2006 18:00,108,1,100,4321
04/10/2006 18:15,98,1,100,4321
04/10/2006 18:30,88,1,100,4321
04/10/2006 18:45,102,1,100,4321
04/10/2006 19:00,100,1,100,4321
04/10/2006 19:15,85,1,100,4321
04/10/2006 19:30,68,1,100,4321
04/10/2006 19:45,74,1,100,4321
04/10/2006 20:00,63,1,100,4321
04/10/2006 20:15,49,1,100,4321
04/10/2006 20:30,56,1,100,4321
04/10/2006 20:45,54,1,100,4321
04/10/2006 21:00,49,1,100,4321
04/10/2006 21:15,38,1,100,4321
04/10/2006 21:30,59,1,100,4321
04/10/2006 21:45,46,1,100,4321
04/10/2006 22:00,50,1,100,4321
04/10/2006 22:15,38,1,100,4321
04/10/2006 22:30,31,1,100,4321
04/10/2006 22:45,35,1,100,4321
04/10/2006 23:00,19,1,100,4321
04/10/2006 23:15,31,1,100,4321
04/10/2006 23:30,23,1,100,4321
04/10/2006 23:45,18,1,100,4321
05/10/2006 00:00,11,1,100,4321
05/10/2006 00:15,14,1,100,4321
05/10/2006 00:30,15,1,100,4321
05/10/2006 00:45,10,1,100,4321
05/10/2006 01:00,7,1,100,4321
05/10/2006 01:15,13,1,100,4321
05/10/2006 01:30,5,1,100,4321
05/10/2006 01:45,9,1,100,4321
05/10/2006 02:00,5,1,100,4321
05/10/2006 02:15,2,1,100,4321
05/10/2006 02:30,1,1,100,4321
05/10/2006 02:45,9,1,100,4321
05/10/2006 03:00,8,1,100,4321
05/10/2006 03:15,11,1,100,4321
05/10/2006 03:30,4,1,100,4321
05/10/2006 03:45,6,1,100,4321
05/10/2006 04:00,5,1,100,4321
05/10/2006 04:15,1,1,100,4321
05/10/2006 04:30,4,1,100,4321
05/10/2006 04:45,10,1,100,4321
05/10/2006 05:00,13,1,100,4321
05/10/2006 05:15,20,1,100,4321
05/10/2006 05:30,18,1,100,4321
05/10/2006 05:45,25,1,100,4321
05/10/2006 06:00,41,1,100,4321
05/10/2006 06:15,60,1,100,4321
05/10/2006 06:30,94,1,100,4321
05/10/2006 06:45,110,1,100,4321
05/10/2006 07:00,160,1,100,4321
05/10/2006 07:15,158,1,100,4321
05/10/2006 07:30,210,1,100,4321
05/10/2006 07:45,234,1,100,4321
05/10/2006 08:00,191,1,100,4321
05/10/2006 08:15,182,1,100,4321
05/10/2006 08:30,177,1,100,4321
05/10/2006 08:45,167,1,100,4321
05/10/2006 09:00,133,1,100,4321
05/10/2006 09:15,129,1,100,4321
05/10/2006 09:30,112,1,100,4321
05/10/2006 09:45,105,1,100,4321
05/10/2006 10:00,110,1,100,4321
05/10/2006 10:15,88,1,100,4321
05/10/2006 10:30,94,1,100,4321
05/10/2006 10:45,85,1,100,4321
05/10/2006 11:00,86,1,100,4321
05/10/2006 11:15,76,1,100,4321
05/10/2006 11:30,89,1,100,4321
05/10/2006 11:45,83,1,100,4321
05/10/2006 12:00,88,1,100,4321
05/10/2006 12:15,114,1,100,4321
05/10/2006 12:30,95,1,100,4321
05/10/2006 12:45,79,1,100,4321
05/10/2006 13:00,91,1,100,4321
05/10/2006 13:15,81,1,100,4321
05/10/2006 13:30,83,1,100,4321
05/10/2006 13:45,87,1,100,4321
05/10/2006 14:00,79,1,100,4321
05/10/2006 14:15,84,1,100,4321
05/10/2006 14:30,86,1,100,4321
05/10/2006 14:45,92,1,100,4321
05/10/2006 15:00,109,1,100,4321
05/10/2006 15:15,113,1,100,4321
05/10/2006 15:30,129,1,100,4321
05/10/2006 15:45,132,1,100,4321
05/10/2006 16:00,119,1,100,4321
05/10/2006 16:15,116,1,100,4321
05/10/2006 16:30,131,1,100,4321
05/10/2006 16:45,104,1,100,4321
05/10/2006 17:00,114,1,100,4321
05/10/2006 17:15,119,1,100,4321
05/10/2006 17:30,108,1,100,4321
05/10/2006 17:45,116,1,100,4321
05/10/2006 18:00,119,1,100,4321
05/10/2006 18:15,127,1,100,4321
05/10/2006 18:30,93,1,100,4321
05/10/2006 18:45,96,1,100,4321
05/10/2006 19:00,85,1,100,4321
05/10/2006 19:15,82,1,100,4321
05/10/2006 19:30,89,1,100,4321
05/10/2006 19:45,74,1,100,4321
05/10/2006 20:00,63,1,100,4321
05/10/2006 20:15,62,1,100,4321
05/10/2006 20:30,45,1,100,4321
05/10/2006 20:45,51,1,100,4321
05/10/2006 21:00,53,1,100,4321
05/10/2006 21:15,42,1,100,4321
05/10/2006 21:30,42,1,100,4321
05/10/2006 21:45,41,1,100,4321
05/10/2006 22:00,43,1,100,4321
05/10/2006 22:15,54,1,100,4321
05/10/2006 22:30,19,1,100,4321
05/10/2006 22:45,29,1,100,4321
05/10/2006 23:00,23,1,100,4321
05/10/2006 23:15,19,1,100,4321
05/10/2006 23:30,12,1,100,4321
05/10/2006 23:45,14,1,100,4321
06/10/2006 00:00,12,1,100,4321
06/10/2006 00:15,8,1,100,4321
06/10/2006 00:30,7,1,100,4321
06/10/2006 00:45,4,1,100,4321
06/10/2006 01:00,5,1,100,4321
06/10/2006 01:15,2,1,100,4321
06/10/2006 01:30,9,1,100,4321
06/10/2006 01:45,3,1,100,4321
06/10/2006 02:00,5,1,100,4321
06/10/2006 02:15,10,1,100,4321
06/10/2006 02:30,5,1,100,4321
06/10/2006 02:45,2,1,100,4321
06/10/2006 03:00,5,1,100,4321
06/10/2006 03:15,4,1,100,4321
06/10/2006 03:30,2,1,100,4321
06/10/2006 03:45,2,1,100,4321
06/10/2006 04:00,3,1,100,4321
06/10/2006 04:15,3,1,100,4321
06/10/2006 04:30,8,1,100,4321
06/10/2006 04:45,13,1,100,4321
06/10/2006 05:00,11,1,100,4321
06/10/2006 05:15,9,1,100,4321
06/10/2006 05:30,21,1,100,4321
06/10/2006 05:45,26,1,100,4321
06/10/2006 06:00,31,1,100,4321
06/10/2006 06:15,59,1,100,4321
06/10/2006 06:30,96,1,100,4321
06/10/2006 06:45,91,1,100,4321
06/10/2006 07:00,153,1,100,4321
06/10/2006 07:15,155,1,100,4321
06/10/2006 07:30,167,1,100,4321
06/10/2006 07:45,194,1,100,4321
06/10/2006 08:00,220,1,100,4321
06/10/2006 08:15,178,1,100,4321
06/10/2006 08:30,149,1,100,4321
06/10/2006 08:45,167,1,100,4321
06/10/2006 09:00,144,1,100,4321
06/10/2006 09:15,126,1,100,4321
06/10/2006 09:30,112,1,100,4321
06/10/2006 09:45,131,1,100,4321
06/10/2006 10:00,93,1,100,4321
06/10/2006 10:15,103,1,100,4321
06/10/2006 10:30,88,1,100,4321
06/10/2006 10:45,71,1,100,4321
06/10/2006 11:00,96,1,100,4321
06/10/2006 11:15,108,1,100,4321
06/10/2006 11:30,90,1,100,4321
06/10/2006 11:45,74,1,100,4321
06/10/2006 12:00,90,1,100,4321
06/10/2006 12:15,59,1,100,4321
06/10/2006 12:30,78,1,100,4321
06/10/2006 12:45,83,1,100,4321
06/10/2006 13:00,88,1,100,4321
06/10/2006 13:15,100,1,100,4321
06/10/2006 13:30,79,1,100,4321
06/10/2006 13:45,108,1,100,4321
06/10/2006 14:00,87,1,100,4321
06/10/2006 14:15,80,1,100,4321
06/10/2006 14:30,96,1,100,4321
06/10/2006 14:45,112,1,100,4321
06/10/2006 15:00,103,1,100,4321
06/10/2006 15:15,101,1,100,4321
06/10/2006 15:30,125,1,100,4321
06/10/2006 15:45,131,1,100,4321
06/10/2006 16:00,104,1,100,4321
06/10/2006 16:15,115,1,100,4321
06/10/2006 16:30,76,1,100,4321
06/10/2006 16:45,86,1,100,4321
06/10/2006 17:00,95,1,100,4321
06/10/2006 17:15,74,1,100,4321
06/10/2006 17:30,122,1,100,4321
06/10/2006 17:45,137,1,100,4321
06/10/2006 18:00,116,1,100,4321
06/10/2006 18:15,118,1,100,4321
06/10/2006 18:30,88,1,100,4321
06/10/2006 18:45,102,1,100,4321
06/10/2006 19:00,93,1,100,4321
06/10/2006 19:15,60,1,100,4321
06/10/2006 19:30,83,1,100,4321
06/10/2006 19:45,79,1,100,4321
06/10/2006 20:00,65,1,100,4321
06/10/2006 20:15,72,1,100,4321
06/10/2006 20:30,54,1,100,4321
06/10/2006 20:45,46,1,100,4321
06/10/2006 21:00,67,1,100,4321
06/10/2006 21:15,47,1,100,4321
06/10/2006 21:30,47,1,100,4321
06/10/2006 21:45,44,1,100,4321
06/10/2006 22:00,54,1,100,4321
06/10/2006 22:15,43,1,100,4321
06/10/2006 22:30,29,1,100,4321
06/10/2006 22:45,50,1,100,4321
06/10/2006 23:00,23,1,100,4321
06/10/2006 23:15,32,1,100,4321
06/10/2006 23:30,27,1,100,4321
06/10/2006 23:45,31,1,100,4321
07/10/2006 00:00,19,1,100,4321
07/10/2006 00:15,14,1,100,4321
07/10/2006 00:30,10,1,100,4321
07/10/2006 00:45,14,1,100,4321
07/10/2006 01:00,11,1,100,4321
07/10/2006 01:15,5,1,100,4321
07/10/2006 01:30,12,1,100,4321
07/10/2006 01:45,8,1,100,4321
07/10/2006 02:00,14,1,100,4321
07/10/2006 02:15,14,1,100,4321
07/10/2006 02:30,4,1,100,4321
07/10/2006 02:45,6,1,100,4321
07/10/2006 03:00,5,1,100,4321
07/10/2006 03:15,12,1,100,4321
07/10/2006 03:30,9,1,100,4321
07/10/2006 03:45,5,1,100,4321
07/10/2006 04:00,4,1,100,4321
07/10/2006 04:15,4,1,100,4321
07/10/2006 04:30,3,1,100,4321
07/10/2006 04:45,9,1,100,4321
07/10/2006 05:00,4,1,100,4321
07/10/2006 05:15,8,1,100,4321
07/10/2006 05:30,8,1,100,4321
07/10/2006 05:45,18,1,100,4321
07/10/2006 06:00,15,1,100,4321
07/10/2006 06:15,17,1,100,4321
07/10/2006 06:30,45,1,100,4321
07/10/2006 06:45,49,1,100,4321
07/10/2006 07:00,41,1,100,4321
07/10/2006 07:15,37,1,100,4321
07/10/2006 07:30,56,1,100,4321
07/10/2006 07:45,47,1,100,4321
07/10/2006 08:00,65,1,100,4321
07/10/2006 08:15,63,1,100,4321
07/10/2006 08:30,82,1,100,4321
07/10/2006 08:45,85,1,100,4321
07/10/2006 09:00,106,1,100,4321
07/10/2006 09:15,128,1,100,4321
07/10/2006 09:30,119,1,100,4321
07/10/2006 09:45,107,1,100,4321
07/10/2006 10:00,98,1,100,4321
07/10/2006 10:15,108,1,100,4321
